tablet_a,tablet_b,designation_a,designation_b,ruler,regnal_year,month,day,total_animals,tx_a,tx_b,source_match,receiver_match,anchors_matched,match_strength
135124,212169,TRU 360,"Hermitage 3, 388",Šū-Suen,7,11,3,1,expenditure,expenditure,1,0,date|quantity|source,3
136275,407566,UDT 141,"HSS 68, 595",Amar-Suen,8,2,25,3,transfer,transfer,1,0,date|quantity|source,3
136286,407288,UDT 152,"HSS 68, 356",Amar-Suen,8,1,12,1,transfer,expenditure,1,0,date|quantity|source,3
143111,407264,"MVN 20, 178","HSS 68, 334",Amar-Suen,9,2,27,9,transfer,transfer,1,0,date|quantity|source,3
143873,320825,"SAT 2, 0673","Nisaba 08, 278",Amar-Suen,1,9,21,2,transfer,transfer,1,0,date|quantity|source,3
144089,235606,"SAT 2, 0889",USC 6795,Amar-Suen,5,4,24,1,transfer,transfer,1,0,date|quantity|source,3
144267,144316,"SAT 2, 1067","SAT 2, 1116",Amar-Suen,8,5,2,32,expenditure,expenditure,1,0,date|quantity|source,3
210401,407574,"BPOA 06, 0624","HSS 68, 603",Amar-Suen,6,9,9,1,transfer,expenditure,1,0,date|quantity|source,3
211664,212165,"Hermitage 3, 329","Hermitage 3, 331",Amar-Suen,7,4,18,1,transfer,transfer,1,0,date|quantity|source,3
211696,289528,"Hermitage 3, 356","JCS 57, 027 03",Amar-Suen,9,9,3,4,expenditure,expenditure,1,0,date|quantity|source,3
211932,212054,"Hermitage 3, 258","Hermitage 3, 260",Amar-Suen,5,4,4,7,transfer,transfer,1,0,date|quantity|source,3
212171,406780,"Hermitage 3, 390","HSS 68, 014",Šū-Suen,8,4,4,1,expenditure,expenditure,1,0,date|quantity|source,3
273487,330661,"RA 101, 38 03","AAICAB 1/4, TCICA 09",Šulgi,47,7,15,20,expenditure,expenditure,1,0,date|quantity|source,3
273488,330660,"RA 101, 37 02","AAICAB 1/4, TCICA 08",Šulgi,47,6,25,15,expenditure,expenditure,1,0,date|quantity|source,3
303434,393060,"BPOA 07, 2666",PH 016,Amar-Suen,4,11,1,2,receipt,expenditure,1,0,date|quantity|source,3
303440,407121,"BPOA 07, 2673","HSS 68, 223",Amar-Suen,4,10,13,5,transfer,transfer,1,0,date|quantity|source,3
303506,303577,"BPOA 07, 2734","BPOA 07, 2798",Šulgi,46,1,16,5,receipt,receipt,0,1,date|quantity|receiver,3
